scope,metric,baseline,vcomp,delta_percent,verdict,primary
MIXGRAPH,point_lookup_latency_p99_us,6000.639,6615.039,10.23890955613227,outside_10pct,True
MIXGRAPH,point_lookup_hit_latency_p50_us,890.367,989.183,11.098344839824481,outside_10pct,False
MIXGRAPH,point_lookup_hit_latency_p95_us,3254.271,3532.799,8.558844669051835,within_10pct,False
MIXGRAPH,point_lookup_hit_latency_p99_us,5955.583,6508.543,9.284733333411687,within_10pct,False
MIXGRAPH,point_lookup_miss_latency_p50_us,903.167,1035.263,14.625866534096122,outside_10pct,False
MIXGRAPH,point_lookup_miss_latency_p95_us,3334.143,3715.071,11.425064851747502,outside_10pct,False
MIXGRAPH,point_lookup_miss_latency_p99_us,6074.367,6791.167,11.800406527955909,outside_10pct,False
MIXGRAPH,scan_latency_p50_us,1296.383,1518.591,17.140613537820215,outside_10pct,False
MIXGRAPH,scan_latency_p95_us,15179.775,18661.375,22.935781327457107,outside_10pct,False
MIXGRAPH,scan_latency_p99_us,29736.959,36306.943,22.09366465481557,outside_10pct,False
final_state,fingerprint_rows,66278498,66319628,0.062056324812909125,within_10pct,True
final_state,sstable_count,164,209,27.439024390243905,outside_10pct,True
final_state,data_bytes,74702475961,85846202847,14.917479966551328,outside_10pct,True
final_state,component_bytes,74783176316,85939525123,14.918260171055442,outside_10pct,True
final_state,max_sstable_bytes,631035132,580038732,-8.081388406755142,within_10pct,True
